job_id,skills
372.0,bi
374.0,cloud
374.0,python
374.0,docker
374.0,r
374.0,ai
374.0,sql
374.0,machine_learning
377.0,cloud
377.0,aws
377.0,azure
380.0,database
380.0,cloud
380.0,saas
380.0,aws
380.0,tableau
380.0,snowflake
380.0,ai
384.0,cloud
384.0,javascript
384.0,python
384.0,css
384.0,java
384.0,html
384.0,etl
384.0,rust
384.0,sql
386.0,azure
388.0,bash
388.0,scala
388.0,shell
388.0,python
388.0,sql
388.0,spark
392.0,scala
392.0,iot
392.0,scrum
392.0,microsoft
392.0,ci/cd
392.0,jupyter
392.0,c++
392.0,cloud
392.0,java
392.0,shell
392.0,ai/ml
392.0,aws
392.0,agile
392.0,redshift
392.0,python
392.0,linux
392.0,sql
392.0,docker
392.0,bi
392.0,server
392.0,devops
392.0,spark
396.0,cloud
396.0,data_lake
396.0,python
396.0,hadoop
396.0,gcp
396.0,c
396.0,spark
396.0,java
396.0,aws
396.0,rust
396.0,machine_learning
396.0,snowflake
396.0,sql
396.0,nosql
396.0,azure
396.0,scala
396.0,kotlin
398.0,etl
399.0,
401.0,sql
401.0,excel
401.0,outlook
401.0,powerpoint
401.0,word
401.0,microsoft
403.0,excel
403.0,oracle
403.0,microsoft
403.0,tableau
403.0,sql
403.0,powerbi
408.0,r
408.0,scala
408.0,database
408.0,scrum
408.0,cloud
408.0,pyspark
408.0,agile
408.0,python
408.0,etl
408.0,sql
408.0,azure
408.0,spark
409.0,node.js
409.0,database
409.0,backend
409.0,saas
409.0,aws
409.0,postgres
409.0,snowflake
409.0,sql
409.0,mongodb
409.0,golang
413.0,sql
413.0,tableau
413.0,css
416.0,tableau
416.0,sql
416.0,bi
416.0,powerbi
418.0,cloud
418.0,aws
418.0,azure
419.0,cloud
419.0,aws
419.0,azure
422.0,powershell
422.0,warehousing
422.0,ssis
422.0,cloud
422.0,powerbi
422.0,aws
422.0,pyspark
422.0,redshift
422.0,python
422.0,tableau
422.0,etl
422.0,bigquery
422.0,snowflake
422.0,sql
422.0,server
422.0,azure
424.0,database
424.0,cloud
424.0,sql
426.0,agile
426.0,python
426.0,jira
426.0,r
426.0,saas
426.0,looker
426.0,warehousing
426.0,tableau
426.0,etl
426.0,snowflake
426.0,sql
426.0,machine_learning
